board_id,timestamp_us,qw,qi,qj,qk,ax,ay,az
1,1828893245,0.6270751953125,0.2091064453125,0.0869140625,0.74530029296875,-1.87890625,-3.26953125,1.71484375
1,1828897289,0.62841796875,0.20758056640625,0.08843994140625,0.74444580078125,-1.87890625,-3.26953125,1.71484375
1,1828905245,0.63092041015625,0.205078125,0.09075927734375,0.74267578125,-1.62890625,-3.05859375,1.984375
1,1828913245,0.63226318359375,0.203857421875,0.0916748046875,0.7418212890625,-1.55078125,-2.875,1.76171875
1,1828917294,0.63336181640625,0.20318603515625,0.09222412109375,0.74102783203125,-1.55078125,-2.875,1.76171875
1,1828927245,0.63494873046875,0.201904296875,0.0928955078125,0.7398681640625,-1.87890625,-2.61328125,0.9140625
1,1828932290,0.635498046875,0.20166015625,0.09295654296875,0.739501953125,-1.87890625,-2.61328125,0.9140625
1,1828936293,0.63580322265625,0.20147705078125,0.0928955078125,0.73931884765625,-1.87890625,-2.61328125,0.9140625
1,1828946255,0.635986328125,0.200927734375,0.09295654296875,0.7392578125,-2.015625,-2.67578125,0.859375
1,1828949287,0.63604736328125,0.20086669921875,0.0927734375,0.7392578125,-2.015625,-2.67578125,0.859375
1,1828952284,0.63604736328125,0.20062255859375,0.09271240234375,0.73931884765625,-2.015625,-2.67578125,0.859375
1,1828956288,0.635986328125,0.20025634765625,0.0926513671875,0.73944091796875,-2.015625,-2.67578125,0.859375
1,1828967245,0.63604736328125,0.19891357421875,0.093017578125,0.73974609375,-2.1328125,-2.75,1.41796875
1,1828971288,0.63616943359375,0.19818115234375,0.09326171875,0.7398681640625,-2.1328125,-2.75,1.41796875
1,1828977245,0.6363525390625,0.1971435546875,0.0936279296875,0.7398681640625,-1.87109375,-2.6640625,1.79296875
1,1828981288,0.6365966796875,0.19635009765625,0.0938720703125,0.7398681640625,-1.87109375,-2.6640625,1.79296875
1,1828988245,0.63690185546875,0.19537353515625,0.09417724609375,0.73980712890625,-1.65625,-2.640625,2.09765625
1,1828992291,0.63726806640625,0.1947021484375,0.09442138671875,0.7396240234375,-1.65625,-2.640625,2.09765625
1,1829000245,0.63775634765625,0.1937255859375,0.0947265625,0.73944091796875,-1.5078125,-2.92578125,2.47265625
1,1829003293,0.63812255859375,0.1932373046875,0.0948486328125,0.73919677734375,-1.5078125,-2.92578125,2.47265625
1,1829007291,0.638671875,0.1927490234375,0.09490966796875,0.7388916015625,-1.5078125,-2.92578125,2.47265625
1,1829011291,0.63916015625,0.19232177734375,0.094970703125,0.738525390625,-1.5078125,-2.92578125,2.47265625
1,1829017259,0.6397705078125,0.191650390625,0.09515380859375,0.73822021484375,-1.5078125,-3.0,2.3046875
1,1829021288,0.64044189453125,0.1912841796875,0.09521484375,0.73773193359375,-1.5078125,-3.0,2.3046875
1,1829028250,0.64111328125,0.19061279296875,0.0953369140625,0.7373046875,-1.828125,-2.83984375,1.578125
1,1829032290,0.64190673828125,0.19012451171875,0.09539794921875,0.7366943359375,-1.828125,-2.83984375,1.578125
1,1829040245,0.64300537109375,0.1881103515625,0.0960693359375,0.73614501953125,-1.99609375,-2.53125,0.99609375
1,1829043291,0.64385986328125,0.18756103515625,0.09613037109375,0.73553466796875,-1.99609375,-2.53125,0.99609375
1,1829047291,0.64508056640625,0.1866455078125,0.0963134765625,0.73468017578125,-1.99609375,-2.53125,0.99609375
1,1829051291,0.64630126953125,0.185546875,0.09661865234375,0.73382568359375,-1.99609375,-2.53125,0.99609375
1,1829057245,0.647705078125,0.18304443359375,0.09747314453125,0.73309326171875,-1.65625,-2.23828125,0.89453125
1,1829061297,0.64947509765625,0.1812744140625,0.09808349609375,0.73193359375,-1.65625,-2.23828125,0.89453125
1,1829068245,0.651123046875,0.178466796875,0.09918212890625,0.73101806640625,-1.35546875,-2.0625,1.27734375
1,1829071291,0.653076171875,0.17633056640625,0.10003662109375,0.7296142578125,-1.35546875,-2.0625,1.27734375
1,1829078245,0.655029296875,0.1734619140625,0.101318359375,0.72845458984375,-0.6953125,-2.328125,1.77734375
1,1829085245,0.65740966796875,0.1702880859375,0.10272216796875,0.726806640625,-0.54296875,-2.3125,1.9375
1,1829088291,0.65960693359375,0.1685791015625,0.10369873046875,0.72509765625,-0.54296875,-2.3125,1.9375
1,1829092291,0.66180419921875,0.1671142578125,0.10443115234375,0.72332763671875,-0.54296875,-2.3125,1.9375
1,1829100245,0.66424560546875,0.1649169921875,0.1053466796875,0.721435546875,-0.08203125,-2.2109375,2.04296875
1,1829103291,0.6661376953125,0.16424560546875,0.1055908203125,0.71978759765625,-0.08203125,-2.2109375,2.04296875
1,1829107291,0.66845703125,0.163818359375,0.10552978515625,0.7177734375,-0.08203125,-2.2109375,2.04296875
1,1829111291,0.67047119140625,0.16375732421875,0.1051025390625,0.71600341796875,-0.08203125,-2.2109375,2.04296875
1,1829118245,0.67205810546875,0.16302490234375,0.10479736328125,0.7147216796875,-0.05859375,-1.828125,1.60546875
1,1829122295,0.67376708984375,0.16351318359375,0.1036376953125,0.713134765625,-0.05859375,-1.828125,1.60546875
1,1829126291,0.67498779296875,0.16412353515625,0.10235595703125,0.7120361328125,-0.05859375,-1.828125,1.60546875
1,1829132245,0.67596435546875,0.16375732421875,0.10150146484375,0.7113037109375,-0.36328125,-1.578125,1.22265625
